sample_id,gt_bpm,pos_bpm,chrom_bpm,pos_error,chrom_error
P000001,129.8583984375,119.091796875,75.146484375,-10.7666015625,-54.7119140625
P000002,53.3935546875,96.240234375,70.3125,42.8466796875,16.9189453125
P000003,122.3876953125,73.828125,60.64453125,-48.5595703125,-61.7431640625
P000004,136.4501953125,74.70703125,76.46484375,-61.7431640625,-59.9853515625
P000005,141.943359375,97.998046875,60.205078125,-43.9453125,-81.73828125
P000006,48.9990234375,61.5234375,61.083984375,12.5244140625,12.0849609375
P000007,131.6162109375,63.720703125,97.998046875,-67.8955078125,-33.6181640625
P000008,97.119140625,97.119140625,97.119140625,0.0,0.0
P000009,126.123046875,126.123046875,126.123046875,0.0,0.0
P000010,81.5185546875,81.298828125,108.984375,-0.2197265625,27.4658203125
